Date,Time,Steps,Heartrate,Movement
2023-1-23,5:00,0,,10
2023-1-23,5:10,0,,11
2023-1-23,5:20,0,,10
2023-1-23,5:30,0,,11
2023-1-23,5:40,0,,11
2023-1-23,5:50,0,,11
2023-1-23,6:00,0,,11
2023-1-23,6:10,0,,11
2023-1-23,6:20,0,,10
2023-1-23,6:30,0,,10
2023-1-23,6:40,0,,10
2023-1-23,6:50,0,,11
2023-1-23,7:00,0,,11
2023-1-23,7:10,0,,11
2023-1-23,7:20,0,,11
2023-1-23,7:30,0,,11
2023-1-23,7:40,0,,10
2023-1-23,7:50,0,,11
2023-1-23,8:00,0,,11
2023-1-23,8:10,0,,11
2023-1-23,8:20,0,,11
2023-1-23,8:30,0,,11
2023-1-23,8:40,0,,11
2023-1-23,8:50,0,,11
2023-1-23,9:00,0,,11
2023-1-23,9:10,0,,11
2023-1-23,9:20,0,,11
2023-1-23,9:30,0,,10
2023-1-23,9:40,0,,10
2023-1-23,9:50,0,,10
2023-1-23,10:00,0,,11
2023-1-23,10:10,0,,10
2023-1-23,10:20,0,,10
2023-1-23,10:30,0,,10
2023-1-23,10:40,0,,11
2023-1-23,10:50,0,,10
2023-1-23,11:00,0,,10
2023-1-23,11:10,0,,10
2023-1-23,11:20,0,,10
2023-1-23,11:30,0,,14
2023-1-23,11:40,0,,11
2023-1-23,11:50,0,,10
2023-1-23,12:00,0,,11
2023-1-23,12:10,0,,10
2023-1-23,12:20,0,,11
2023-1-23,12:30,0,,11
2023-1-23,12:40,0,,10
2023-1-23,12:50,0,,10
2023-1-23,13:00,0,,11
2023-1-23,13:10,0,,10
2023-1-23,13:20,0,,11
2023-1-23,13:30,0,,11
2023-1-23,13:40,0,,10
2023-1-23,13:50,0,,11
2023-1-23,14:00,0,,11
2023-1-23,14:10,0,,11
2023-1-23,14:20,0,,10
2023-1-23,14:30,0,,11
2023-1-23,14:40,0,,10
2023-1-23,14:50,0,,11
2023-1-23,15:00,0,,11
2023-1-23,15:10,0,,10
2023-1-23,15:20,0,,10
2023-1-23,15:30,0,,11
2023-1-23,15:40,0,,11
2023-1-23,15:50,0,,11
2023-1-23,16:00,0,,11
2023-1-23,16:10,0,,10
2023-1-23,16:20,0,,11
2023-1-23,16:30,0,,11
2023-1-23,16:40,0,,10
2023-1-23,16:50,0,,11
2023-1-23,17:00,0,,11
2023-1-23,17:10,0,,10
2023-1-23,17:20,0,,10
2023-1-23,17:30,0,,10
2023-1-23,17:40,0,,11
2023-1-23,17:50,0,,11
2023-1-23,18:00,0,,11
2023-1-23,18:10,0,,10
2023-1-23,18:20,0,,11
2023-1-23,18:30,0,,11
2023-1-23,18:40,0,,11
2023-1-23,18:50,0,,11
2023-1-23,19:00,0,,11
2023-1-23,19:10,0,,11
2023-1-23,19:20,0,,11
2023-1-23,19:30,0,,11
2023-1-23,19:40,0,,11
2023-1-23,19:50,0,,10
2023-1-23,20:00,0,,10
2023-1-23,20:10,0,,10
2023-1-23,20:20,0,,10
2023-1-23,20:30,0,,10
2023-1-23,20:40,0,,11
2023-1-23,20:50,0,,11
2023-1-23,21:00,0,,11
2023-1-23,21:10,0,,10
2023-1-23,21:20,0,,11
2023-1-23,21:30,0,,11
2023-1-23,21:40,0,,10
2023-1-23,21:50,0,,11
2023-1-23,22:00,0,,10
2023-1-23,22:10,0,,11
2023-1-23,22:20,0,,10
2023-1-23,22:30,0,,11
2023-1-23,22:40,0,,10
2023-1-23,22:50,0,,11
2023-1-23,23:00,0,,9
2023-1-23,23:10,0,,10
2023-1-23,23:20,0,,10
2023-1-23,23:30,0,,10
2023-1-23,23:40,0,,10
2023-1-23,23:50,0,,10
2023-1-24,0:00,0,,10
2023-1-24,0:10,0,,10
2023-1-24,0:20,0,,10
2023-1-24,0:30,0,,10
2023-1-24,0:40,0,,10
2023-1-24,0:50,0,,10
2023-1-24,1:00,0,,10
2023-1-24,1:10,0,,10
2023-1-24,1:20,0,,10
2023-1-24,1:30,0,,10
2023-1-24,1:40,0,,10
2023-1-24,1:50,0,,10
2023-1-24,2:00,0,,10
2023-1-24,2:10,0,,10
2023-1-24,2:20,0,,10
2023-1-24,2:30,0,,10
2023-1-24,2:40,0,,10
2023-1-24,2:50,0,,9
2023-1-24,3:00,0,,10
2023-1-24,3:10,0,,10
2023-1-24,3:20,0,,10
2023-1-24,3:30,0,,10
2023-1-24,3:40,0,,10
2023-1-24,3:50,0,,10
2023-1-24,4:00,0,,10
2023-1-24,4:10,0,,10
2023-1-24,4:20,0,,10
2023-1-24,4:30,0,,10
2023-1-24,4:40,0,,10
2023-1-24,4:50,0,,10
2023-1-24,5:00,0,,10
2023-1-24,5:10,0,,10
2023-1-24,5:20,0,,10
2023-1-24,5:30,0,,10
2023-1-24,5:40,0,,10
2023-1-24,5:50,0,,10
2023-1-24,6:00,0,,10
2023-1-24,6:10,0,,10
2023-1-24,6:20,0,,10
2023-1-24,6:30,0,,10
2023-1-24,6:40,0,,10
2023-1-24,6:50,0,,10
2023-1-24,7:00,0,,10
2023-1-24,7:10,0,,10
2023-1-24,7:20,0,,10
2023-1-24,7:30,0,,10
2023-1-24,7:40,0,,10
2023-1-24,7:50,0,,10
2023-1-24,8:00,0,,10
2023-1-24,8:10,0,,10
2023-1-24,8:20,0,,10
2023-1-24,8:30,0,,10
2023-1-24,8:40,0,,10
2023-1-24,8:50,0,,10
2023-1-24,9:00,0,,10
2023-1-24,9:10,0,,10
2023-1-24,9:20,0,,11
2023-1-24,9:30,0,,10
2023-1-24,9:40,0,,10
2023-1-24,9:50,0,,11
2023-1-24,10:00,0,,11
2023-1-24,10:10,0,,11
2023-1-24,10:20,0,,11
2023-1-24,10:30,0,,11
2023-1-24,10:40,0,,11
2023-1-24,10:50,0,,11
2023-1-24,11:00,0,,11
2023-1-24,11:10,0,,11
2023-1-24,11:20,0,,11
2023-1-24,11:30,0,,11
2023-1-24,11:40,0,,11
2023-1-24,11:50,0,,11
2023-1-24,12:00,0,,11
2023-1-24,12:10,0,,11
2023-1-24,12:20,0,,11
2023-1-24,12:30,0,,11
2023-1-24,12:40,0,,11
2023-1-24,12:50,0,,11
2023-1-24,13:00,0,,11
2023-1-24,13:10,0,,11
2023-1-24,13:20,0,,11
2023-1-24,13:30,0,,11
2023-1-24,13:40,0,,11
2023-1-24,13:50,0,,10
2023-1-24,14:00,0,,11
2023-1-24,14:10,0,,11
2023-1-24,14:20,0,,11
2023-1-24,14:30,0,,11
2023-1-24,14:40,0,,11
2023-1-24,14:50,0,,11
2023-1-24,15:00,0,,11
2023-1-24,15:10,0,,8
2023-1-24,15:20,0,,10
2023-1-24,15:30,0,,10
2023-1-24,15:40,0,,10
2023-1-24,15:50,0,,8
2023-1-24,16:00,0,,10
2023-1-24,16:10,0,,10
2023-1-24,16:20,0,,10
2023-1-24,16:30,0,,10
2023-1-24,16:40,0,,10
2023-1-24,16:50,0,,10
2023-1-24,17:00,0,,10
2023-1-24,17:10,0,,10
2023-1-24,17:20,0,,10
2023-1-24,17:30,0,,10
2023-1-24,17:40,0,,10
2023-1-24,17:50,0,,10
2023-1-24,18:00,0,,10
2023-1-24,18:10,0,,10
2023-1-24,18:20,0,,10
2023-1-24,18:30,0,,10
2023-1-24,18:40,0,,10
2023-1-24,18:50,0,,10
2023-1-24,19:00,0,,10
2023-1-24,19:10,0,,10
2023-1-24,19:20,0,,10
2023-1-24,19:30,0,,10
2023-1-24,19:40,0,,10
2023-1-24,19:50,0,,10
2023-1-24,20:00,0,,10
2023-1-24,20:10,0,,10
2023-1-24,20:20,0,,10
2023-1-24,20:30,0,,10
2023-1-24,20:40,0,,10
2023-1-24,20:50,0,,10
2023-1-24,21:00,0,,10
2023-1-24,21:10,0,,10
2023-1-24,21:20,0,,10
2023-1-24,21:30,0,,10
2023-1-24,21:40,0,,10
2023-1-24,21:50,0,,10
2023-1-24,22:00,0,,10
2023-1-24,22:10,0,,10
2023-1-24,22:20,0,,10
2023-1-24,22:30,0,,10
2023-1-24,22:40,0,,10
2023-1-24,22:50,0,,10
2023-1-24,23:00,0,,10
2023-1-24,23:10,0,,10
2023-1-24,23:20,0,,9
2023-1-24,23:30,0,,10
2023-1-24,23:40,0,,10
2023-1-24,23:50,0,,10
2023-1-25,0:00,0,,11
2023-1-25,0:10,0,,10
2023-1-25,0:20,0,,10
2023-1-25,0:30,0,,10
2023-1-25,0:40,0,,10
2023-1-25,0:50,0,,10
2023-1-25,1:00,0,,10
2023-1-25,1:10,0,,10
2023-1-25,1:20,0,,10
2023-1-25,1:30,0,,10
2023-1-25,1:40,0,,10
2023-1-25,1:50,0,,10
2023-1-25,2:00,0,,10
2023-1-25,2:10,0,,10
2023-1-25,2:20,0,,10
2023-1-25,2:30,0,,10
2023-1-25,2:40,0,,10
2023-1-25,2:50,0,,10
2023-1-25,3:00,0,,10
2023-1-25,3:10,0,,10
2023-1-25,3:20,0,,10
2023-1-25,3:30,0,,10
2023-1-25,3:40,0,,10
2023-1-25,3:50,0,,10
2023-1-25,4:00,0,,10
2023-1-25,4:10,0,,10
2023-1-25,4:20,0,,10
2023-1-25,4:30,0,,10
